NAME,GAIA_DESIG,RA,DEC,GLON,GLAT,SPEC_CLASS,SPEC_SIMBAD,COLOUR_SDSS,COLOUR_APASS,COLOUR_PS1,COLOUR_SKYM,PLX,PLX_ZP,e_PLX,M_G,G_GAIA,e_G_GAIA,BP_GAIA,e_BP_GAIA,RP_GAIA,e_RP_GAIA,PMRA_GAIA,e_PMRA_GAIA,PMDEC_GAIA,e_PMDEC_GAIA,RV_SDSS,e_RV_SDSS,RV_LAMOST,e_RV_LAMOST,TEFF,e_TEFF,LOG_G,e_LOG_G,LOG_Y,e_LOG_Y,PARAMS_REF,EB-V,e_EB-V,AV,FUV_GALEX,e_FUV_GALEX,NUV_GALEX,e_NUV_GALEX,V_APASS,e_V_APASS,B_APASS,e_B_APASS,g_APASS,e_g_APASS,r_APASS,e_r_APASS,i_APASS,e_i_APASS,u_SDSS,e_u_SDSS,g_SDSS,e_g_SDSS,r_SDSS,e_r_SDSS,I_SDSS,e_i_SDSS,z_SDSS,e_z_SDSS,u_VST,e_u_VST,g_VST,e_g_VST,r_VST,e_r_VST,I_VST,e_i_VST,z_VST,e_z_VST,u_SKYM,e_u_SKYM,v_SKYM,e_v_SKYM,g_SKYM,e_g_SKYM,r_SKYM,e_r_SKYM,i_SKYM,e_i_SKYM,z_SKYM,e_z_SKYM,g_PS1,e_g_PS1,r_PS1,e_r_PS1,i_PS1,e_i_PS1,z_PS1,e_z_PS1,y_PS1,e_y_PS1,J_2MASS,e_J_2MASS,H_2MASS,e_H_2MASS,K_2MASS,e_K_2MASS,Y_UKIDSS,e_Y_UKIDSS,J_UKIDSS,e_J_UKIDSS,H_UKIDSS,e_H_UKIDSS,K_UKIDSS,e_K_UKIDSS,Z_VISTA,e_Z_VISTA,Y_VISTA,e_Y_VISTA,J_VISTA,e_J_VISTA,H_VISTA,e_H_VISTA,Ks_VISTA,e_Ks_VISTA,W1,e_W1,W2,e_W2,W3,e_W3,W4,e_W4
MCT2357-1725,Gaia EDR3 2414485448212792064,0.02166608891,-17.14767082340,70.34819481544,-74.49526906514,sdO,sdO5He4,,,sdO/B,sdO,0.3585,0.3494,0.0774,,16.7698,0.0029,16.6132,0.0046,17.0884,0.0113,8.1917,0.0771,-10.1588,0.0611,,,,,,,,,,,,0.019,0.000,0.060,15.085,0.016,15.572,0.016,,,,,,,,,,,,,,,,,,,,,15.84030,0.00366,16.63570,0.00187,17.04680,0.00286,17.36800,0.00536,17.62400,0.01273,16.1950,0.0130,16.3130,0.0200,16.6360,0.0040,16.9570,0.0200,17.4620,0.0450,17.7880,0.0750,16.6020,0.0030,17.0340,0.0050,17.4200,0.0040,17.6890,0.0040,17.8590,0.0060,,,,,,,,,,,,,,,,,17.3800,0.0137,17.5380,0.0259,,,17.7897,0.1500, ,,,,,,,
PG2357+174,Gaia EDR3 2773760665114010880,0.06568935310,17.64803257810,106.00896059575,-43.53573253463,sdOB,sdB,sdB,sdO/B,sdO/B,,0.3100,0.3077,0.0746,,16.5199,0.0029,16.3850,0.0047,16.8064,0.0078,6.7125,0.0669,-2.6579,0.0422,,,-51,1,38462,184,6.02,0.03,-1.92,0.05,2021ApJS..256...28L,0.024,0.001,0.075,15.286,0.018,15.479,0.010,16.620,0.212,16.401,0.067,16.348,0.046,16.764,0.046,,,15.990,0.006,16.321,0.004,16.797,0.004,17.157,0.006,17.445,0.016,,,,,,,,,,,,,,,,,,,,,,,16.3490,0.0010,16.7590,0.0040,17.1290,0.0020,17.3870,0.0050,17.5780,0.0090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HS2357+2201,Gaia EDR3 2847977322031768832,0.07671105482,22.30076812677,107.64875044427,-39.04878514169,sdB,sdB,sdB,sdO/B,sdO/B,,1.1793,1.2038,0.0359,4.6224,14.2196,0.0028,14.1104,0.0030,14.4267,0.0039,5.3919,0.0346,-12.1125,0.0190,,,-109,3,27629,500,5.55,0.05,-2.54,0.05,2005A&A...430..223L,0.058,0.004,0.179,13.529,0.006,13.694,0.005,14.283,0.027,14.100,0.034,14.048,0.036,14.441,0.032,14.748,0.075,13.916,0.003,14.007,0.003,14.425,0.004,14.730,0.004,15.014,0.005,,,,,,,,,,,,,,,,,,,,,,,14.0850,0.0030,14.4380,0.0030,14.7670,0.0020,15.0060,0.0040,15.1730,0.0060,14.774,0.041,15.076,0.083,14.866,0.126,,,,,,,,,,,,,,,,,,,14.962,0.038,15.122,0.104,12.517,,9.218,
MCT2357-3331,Gaia EDR3 2313130542218587008,0.08377480603,-33.24992516711,0.81569136169,-77.38813198946,sdB,sdBHe1,,,,,0.3661,0.3651,0.0673,4.2868,16.4747,0.0029,16.3111,0.0057,16.7929,0.0071,15.3787,0.0475,-15.1921,0.0565,,,,,,,,,,,,0.012,0.000,0.036,14.826,0.012,15.247,0.006,,,,,,,,,,,,,,,,,,,,,15.91990,0.00013,16.18690,0.00009,16.80320,0.00021,17.04350,0.00096,,,,,,,,,,,,,,,,,,,17.1280,0.0040,,,,,,,,,,,,,,,,,,,16.8886,0.0040,17.0900,0.0083,17.2084,0.0093,17.2935,0.0229,17.3351,0.0373,17.391,0.173,17.241,,12.952,,9.165,
PG2358+107,Gaia EDR3 2765454164004531328,0.27802264632,11.01003763486,103.52140730129,-49.95549008850,sdB,sdB2VIIHe4,,sdO/B,sdO/B,,1.6149,1.6454,0.0352,4.6713,13.5899,0.0028,13.4898,0.0031,13.7779,0.0039,-3.8938,0.0385,-11.7518,0.0277,,,34,1,27939,216,5.49,0.03,-2.73,0.03,2021ApJS..256...28L,0.071,0.002,0.220,13.122,0.006,13.512,0.004,13.593,0.005,13.507,0.008,13.457,0.010,13.793,0.006,14.028,0.232,13.365,0.003,,,13.798,0.003,14.089,0.003,14.351,0.004,,,,,,,,,,,,,,,,,,,,,,,13.4560,0.0030,13.8030,0.0040,14.1300,0.0007,14.3640,0.0030,14.5070,0.0030,14.063,0.028,14.191,0.044,14.218,0.054,14.005,0.002,14.064,0.002,14.128,0.004,14.227,0.007,,,,,,,,,,,14.319,0.030,14.453,0.068,12.288,,8.544,
SDSSJ000111.65+000342.6,Gaia EDR3 2546039089602718592,0.29855881736,0.06183902650,96.93877478589,-60.24942805739,sdOB,DB,sd+MS,,sd+MS,,-0.6680,-0.6551,0.3528,,19.2296,0.0038,19.3132,0.0301,19.1581,0.0423,1.4424,0.3453,-4.2747,0.2102,-276,28,,,,,,,,,,0.025,0.001,0.078,18.474,0.050,18.831,0.041,,,,,,,,,,,19.218,0.023,19.243,0.010,19.317,0.013,19.410,0.016,19.570,0.059,,,,,,,,,,,,,,,,,,,,,,,19.2710,0.0090,19.3530,0.0140,19.4230,0.0160,19.4920,0.0130,19.4180,0.0580,,,,,,,19.050,0.056,19.248,0.132,,,,,,,,,18.8368,0.0582,18.7447,0.1450,18.6435,0.2476,,,,,,,,
BPSCS22957-23,Gaia EDR3 2443124255783107968,0.38432390102,-5.32168242966,92.12815256097,-65.16498861295,sdB,sdB,sd+MS,sd+MS,sd+MS,,1.3721,1.4169,0.1166,4.2727,13.5160,0.0029,13.5949,0.0037,13.2528,0.0045,-11.1727,0.1063,-18.5682,0.0711,,,,,,,,,,,,0.029,0.001,0.090,13.658,0.009,13.961,0.004,13.618,0.068,13.767,0.050,13.633,0.040,13.655,0.078,13.544,0.067,13.859,0.004,13.766,0.004,13.750,0.003,16.898,0.018,13.704,0.006,,,,,,,,,,,,,,,,,,,,,,,13.6330,0.0030,13.6070,0.0050,13.6350,0.0060,13.6310,0.0030,13.6220,0.0050,12.740,0.027,12.337,0.023,12.306,0.023,,,,,,,,,,,,,12.7314,0.0010,12.3693,0.0010,12.2626,0.0015,12.182,0.025,12.180,0.024,11.984,0.285,8.750,
MCT2359-3556,Gaia EDR3 2309587292982876544,0.40688391984,-35.66487582313,351.03745724966,-76.38780650091,sdB,sdBHe1,,sdO/B,,sdB,0.9230,0.9492,0.0418,4.3557,14.4688,0.0028,14.3354,0.0033,14.7218,0.0043,7.7434,0.0277,-5.9954,0.0346,,,,,,,,,,,,0.009,0.001,0.026,13.410,0.009,13.702,0.007,14.475,0.012,14.287,0.008,14.285,0.024,14.679,0.040,15.075,,,,,,,,,,,,13.78370,0.00141,14.24570,0.00071,14.73630,0.00096,15.04510,0.00146,15.24920,0.00349,14.1200,0.0050,14.1530,0.0340,14.3360,0.0020,14.6630,0.0030,15.0930,0.0020,15.3960,0.0030,,,,,,,,,,,15.065,0.040,15.126,0.104,15.263,0.200,,,,,,,,,,,,,,,,,,,15.302,0.039,15.316,0.093,13.018,,9.459,
MCT2359-2844,Gaia EDR3 2333105610478918144,0.41038931478,-28.46198397158,23.14189029882,-78.91195344090,He-sdOB,sdO7He2,,sdO/B,sdO/B,sdO,0.5171,0.5219,0.0582,4.8002,16.2124,0.0029,16.0556,0.0046,16.5435,0.0065,6.7003,0.0507,-6.9614,0.0470,,,,,38325,1000,5.65,0.10,-0.15,0.10,2007A&A...462..269S,0.017,0.001,0.051,,,15.009,0.010,16.159,0.121,16.039,0.131,15.957,0.074,16.442,,,,,,,,,,,,,,15.34820,0.00263,16.01860,0.00150,16.53540,0.00221,16.83280,0.00312,17.12020,0.00982,15.6620,0.0110,15.7580,0.0090,16.0690,0.0030,16.4250,0.0140,16.9170,0.0270,17.2420,0.0710,16.0370,0.0050,16.4800,0.0040,16.8690,0.0030,17.1630,0.0030,17.3280,0.0160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PG2359+197,Gaia EDR3 2846319155418023424,0.53527091576,19.98698107228,107.42280333021,-41.39542984912,sdB+WD,sdB,sd+MS,sdO/B,sdO/B,,0.4016,0.4198,0.0496,3.6963,15.5813,0.0029,15.4671,0.0055,15.9133,0.0237,-7.9517,0.0578,-0.6512,0.0532,,,-142,3,31434,500,5.56,0.05,-3.58,0.05,2005A&A...430..223L,0.035,0.002,0.107,14.372,0.014,14.714,0.007,15.639,0.061,15.400,0.006,15.410,0.053,15.887,0.106,,,15.163,0.005,15.589,0.003,15.812,0.003,16.124,0.004,16.442,0.010,,,,,,,,,,,,,,,,,,,,,,,15.4040,0.0020,15.8050,0.0020,16.1660,0.0020,16.4340,0.0060,16.5840,0.0070,16.234,0.092,16.227,0.212,17.160,,,,,,,,,,,,,,,,,,,,16.701,0.117,16.394,,12.444,,9.166,
SDSSJ000307.06+241211.6,Gaia EDR3 2849938472818734720,0.77941684148,24.20323787289,109.03616945410,-37.36123702022,sdB,sdB,sdB,sdO/B,sdO/B,,0.4415,0.4521,0.0627,4.6323,16.3559,0.0028,16.2812,0.0040,16.5019,0.0061,3.8426,0.0583,2.6892,0.0421,-6,4,,,,,,,,,,0.093,0.005,0.290,16.060,0.015,16.116,0.007,16.300,0.156,16.292,0.072,16.254,,16.718,,,,16.150,0.006,16.164,0.003,16.545,0.004,16.798,0.005,17.056,0.013,,,,,,,,,,,,,,,,,,,,,,,16.2290,0.0040,16.5380,0.0030,16.8360,0.0030,17.0580,0.0050,17.2180,0.0070,16.628,0.139,16.085,,17.106,,,,,,,,,,,,,,,,,,,,17.214,0.203,16.104,,11.821,,8.644,
FB1,Gaia EDR3 2339774698257101312,0.84199210968,-23.64953387620,48.04940835180,-78.60563452803,sdB+WD,sdBHe1,,sdO/B,sdO/B,sdB,1.5081,1.5381,0.0374,4.1890,13.2541,0.0028,13.1250,0.0030,13.5139,0.0039,6.7710,0.0381,-18.5229,0.0282,,,,,25000,1250,5.60,0.20,-2.30,0.20,1986A&A...155...33H,0.017,0.001,0.052,12.719,0.005,13.747,0.005,13.282,0.035,13.101,0.021,13.085,0.040,13.520,0.048,13.855,0.035,,,,,,,,,,,,,13.10070,0.00040,13.52730,0.00052,13.80300,0.00083,14.04600,0.00153,12.9730,0.0060,12.9820,0.0120,13.1340,0.0050,13.4570,0.0080,13.8850,0.0030,14.1790,0.0070,13.2720,,13.5090,0.0020,13.8580,0.0020,14.1210,0.0040,14.2860,0.0060,13.868,0.029,14.017,0.047,14.061,0.052,,,,,,,,,,,13.7045,0.0018,13.8405,0.0018,,,14.0259,0.0062,14.090,0.030,14.143,0.054,12.377,,9.117,
MCT0000-1637,Gaia EDR3 2415007505781366528,0.85190879431,-16.35177493460,74.55894475167,-74.51039497808,sdB+F/G,sdBHe0+F/G,,sdO/B,sd+MS,sdB,1.1571,1.1999,0.0505,2.9782,12.5825,0.0028,12.5152,0.0030,12.6719,0.0038,17.4421,0.0706,-0.1764,0.0372,,,,,,,,,,,,0.020,0.001,0.062,12.687,0.007,12.947,0.003,12.620,0.023,12.543,0.008,12.528,0.018,12.771,0.020,12.979,0.052,,,,,,,,,,,11.93490,0.00060,12.44890,0.00031,12.76120,0.00039,13.00290,0.00053,13.09260,0.00095,12.4450,0.0020,12.5290,0.0180,12.5480,0.0020,12.7190,0.0020,13.0320,0.0070,13.2240,0.0080,12.9650,,13.0740,,13.1960,,13.2000,0.0030,13.2990,0.0040,12.688,0.026,12.619,0.026,12.596,0.026,,,,,,,,,,,,,,,,,,,12.567,0.023,12.622,0.029,12.622,,9.034,
SDSSJ000354.71+255459.56,Gaia EDR3 2853226523686020736,0.97796616301,25.91654306084,109.74463674187,-35.73523402168,sdB,sdB,sdB,,sdO/B,,0.7325,0.7280,0.3972,,19.6344,0.0040,19.6298,0.0335,19.7223,0.0644,1.1900,0.4417,-1.4023,0.2596,-109,11,,,30499,507,5.28,0.10,,,2016MNRAS.455.3413K,0.026,0.001,0.081,18.284,0.550,18.772,0.260,,,,,,,,,,,19.202,0.028,19.404,0.013,19.859,0.023,20.047,0.036,20.480,0.195,,,,,,,,,,,,,,,,,,,,,,,19.4770,0.0100,19.8650,0.0160,20.1730,0.0160,20.3590,0.0450,20.2040,0.1850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PG0001+275,Gaia EDR3 2854091981071865344,0.98170415483,27.81032196074,110.26342299088,-33.88996245297,sdB+WD,sdB2VIIHe3,sd+MS,sdO/B,sdO/B,,1.7435,1.7692,0.0329,4.5479,13.3089,0.0028,13.1996,0.0029,13.5232,0.0039,4.5485,0.0316,-19.2301,0.0185,,,-100,6,25400,500,5.30,0.10,-2.87,0.10,2010A&A...519A..25G,0.048,0.002,0.147,,,12.969,0.004,13.314,0.023,13.130,0.056,13.119,0.047,13.518,0.043,13.827,0.068,13.108,0.003,13.447,0.003,13.494,0.007,14.174,0.006,14.231,0.004,,,,,,,,,,,,,,,,,,,,,,,13.0450,,13.4890,,13.8770,0.0030,14.1110,0.0020,14.2690,0.0030,13.833,0.024,13.971,0.041,14.023,0.057,,,,,,,,,,,,,,,,,,,13.992,0.027,13.948,0.045,12.380,0.433,9.245,
LAMOSTJ000406.09+230148.5,Gaia EDR3 2848140084112307968,1.02538595035,23.03013000436,108.96612861425,-38.55451784930,sdOB,,sd+MS,sdO/B,sd+MS,,0.4737,0.5075,0.0357,3.3953,14.8681,0.0028,14.8630,0.0034,14.8218,0.0040,4.7790,0.0340,-3.6010,0.0390,,,,,42494,576,5.44,0.04,-4.04,0.26,2021ApJS..256...28L,0.061,0.004,0.189,13.849,0.009,14.354,0.006,14.941,0.054,14.922,0.037,14.817,0.035,14.975,0.071,15.100,0.164,14.765,0.004,14.854,0.003,15.128,0.009,15.172,0.005,15.225,0.006,,,,,,,,,,,,,,,,,,,,,,,14.8489,0.0013,15.0276,0.0020,15.1758,0.0025,15.2749,0.0020,15.3286,0.0052,14.581,0.030,14.423,0.049,14.424,0.072,,,,,,,,,,,,,,,,,,,14.404,0.030,14.423,0.054,11.858,,8.545,
SDSSJ000426.62-003826.2,Gaia EDR3 2545743600148435584,1.11092382428,-0.64064935658,97.92293041427,-61.20959622623,He-sdOB,sdB2,sdB,,sdO/B,sdO,0.5623,0.5570,0.1449,,16.7202,0.0029,16.5717,0.0045,17.0062,0.0079,7.7347,0.2946,-7.8035,0.0708,23,3,,,,,,,,,,0.027,0.001,0.082,15.384,0.220,15.590,0.150,,,,,,,,,,,16.152,0.006,16.461,0.004,16.980,0.006,17.362,0.007,17.688,0.015,,,,,,,,,,,16.2050,0.0310,16.3140,0.0330,16.6110,0.0140,16.9390,0.0140,17.3990,0.0470,17.6330,0.0410,16.5470,0.0030,16.9750,0.0060,17.3460,0.0040,17.6210,0.0040,17.8110,0.0110,,,,,,,17.304,0.017,17.473,0.032,17.579,0.061,17.861,0.153,,,,,17.4391,0.0266,17.5993,0.0514,17.6818,0.0953,,,,,,,,
MCT0001-2443,Gaia EDR3 2336589275632410496,1.12923075393,-24.43938934700,44.60599516054,-79.10570952682,He-sdO,sdO8He4,,sdO/B,sdO/B,sdB,1.4258,1.4518,0.0489,4.6325,13.8230,0.0028,13.6659,0.0033,14.1244,0.0040,12.0351,0.0619,-29.9841,0.0379,,,,,40975,1000,5.94,0.10,2.97,0.10,2007A&A...462..269S,0.017,0.000,0.052,12.902,0.006,13.823,0.005,13.860,0.026,13.634,0.012,13.636,0.029,14.094,0.062,14.499,0.043,,,,,,,,,,,,,13.66170,0.00052,14.09930,0.00071,14.45200,0.00105,14.68060,0.00217,13.3380,0.0110,13.4130,0.0120,13.7200,0.0080,14.0630,0.0130,14.5060,0.0020,14.8250,0.0070,13.6900,0.0090,14.0880,0.0030,14.4600,0.0030,14.7640,0.0060,14.9330,0.0060,14.535,0.033,14.731,0.064,14.759,0.113,,,,,,,,,,,14.4326,0.0026,14.5489,0.0029,,,14.7668,0.0118,14.823,0.036,14.850,0.089,12.544,0.445,9.092,
GALEXJ00046+4132,Gaia EDR3 384250868341348352,1.16542048525,41.54278088372,113.61247487243,-20.48096206659,sdB,sdB,,sd+MS,sdO/B,,0.6675,0.6804,0.0478,4.2769,15.1129,0.0028,14.9816,0.0032,15.3571,0.0042,4.4488,0.0334,-1.0211,0.0259,,,,,,,,,,,,0.071,0.001,0.219,13.619,0.007,14.162,0.003,15.158,0.080,15.325,0.161,15.213,0.114,15.348,0.043,15.704,0.039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.9770,0.0040,15.3500,0.0040,15.6960,0.0020,15.9530,0.0030,16.1170,0.0060,15.679,0.065,15.938,0.201,15.872,0.219,,,,,,,,,,,,,,,,,,,16.003,0.056,16.125,0.173,13.190,,9.537,
MCT0002-2648,Gaia EDR3 2333936291513550336,1.28987026729,-26.53005021985,33.61876139332,-79.66213103319,sdB,sdBHe1,,sdO/B,sdO/B,,0.4613,0.4799,0.0588,4.3966,15.9909,0.0031,15.8687,0.0048,16.2413,0.0076,1.7100,0.0542,-1.6068,0.0539,,,,,,,,,,,,0.013,0.000,0.040,14.814,0.017,15.089,0.012,16.013,0.161,15.952,0.052,15.847,0.011,16.262,0.080,,,,,,,,,,,,,15.36900,0.00288,15.78990,0.00139,16.25930,0.00198,16.51400,0.00317,16.79900,0.00786,,,,,,,,,,,,,15.8350,0.0100,16.2520,0.0040,16.5800,0.0060,16.7940,0.0050,16.9910,0.0100,16.249,0.104,16.012,,15.776,,,,,,,,,,,,,,,,,,,,16.524,0.106,16.288,0.307,12.726,,8.465,
SDSSJ000552.02+064920.2,Gaia EDR3 2745620073750746624,1.46679329540,6.82224791372,103.29069500075,-54.30246020651,sdB,sdB,sdB,,sdO/B,,0.2087,0.2172,0.0697,,16.7972,0.0029,16.7253,0.0062,16.9291,0.0114,3.2479,0.0898,-3.0375,0.0615,-26,2,,,23631,676,5.52,0.11,-2.36,0.13,2021ApJS..256...28L,0.037,0.002,0.114,16.685,0.025,16.753,0.018,,,,,,,,,,,16.737,0.007,16.581,0.005,16.981,0.006,17.264,0.007,17.479,0.013,,,,,,,,,,,,,,,,,,,,,,,16.6720,0.0030,17.0020,0.0030,17.2800,0.0040,17.4880,0.0040,17.6100,0.0100,,,,,,,17.172,0.018,17.145,0.027,17.129,0.056,17.337,0.092,,,,,,,,,,,,,,,,,,
MCT0003-3509,Gaia EDR3 2309702230603610112,1.48634411691,-34.88517231599,351.59102034076,-77.55784056321,sdB,sdBHe0,,sd+MS,sd+MS,,0.6285,0.6722,0.0402,4.3166,15.1791,0.0030,15.2337,0.0048,15.0279,0.0064,6.6455,0.0298,0.2524,0.0372,,,,,,,,,,,,0.013,0.000,0.040,14.335,0.005,14.820,0.004,15.277,0.048,15.356,0.033,15.264,0.019,15.333,0.136,,,,,,,,,,,,,14.95310,0.00251,15.29130,0.00105,15.32200,0.00133,,,15.32820,0.00285,,,,,,,,,,,,,15.6260,,15.4580,,15.3620,0.0030,15.5030,,15.5360,,14.777,0.043,14.540,0.047,14.367,0.078,,,,,,,,,14.8764,0.0014,14.7939,0.0023,14.5540,0.0018,14.2284,0.0024,14.1358,0.0036,14.138,0.029,14.242,0.050,12.430,,9.138,
SDSSJ000607.88-010320.8,Gaia EDR3 2545662545526065152,1.53286136676,-1.05588772774,98.41863986860,-61.75218552824,He-sdO,sdOHe,sdO,,sdO/B,,0.1681,0.1749,0.1416,,17.6807,0.0031,17.5245,0.0072,17.9438,0.0203,0.4911,0.1628,-9.7842,0.0872,-288,9,,,44845,2000,6.08,0.20,1.97,0.40,2009PhDT.......273H,0.032,0.001,0.098,16.121,0.015,16.521,0.011,,,,,,,,,,,17.004,0.008,17.426,0.005,17.917,0.007,18.263,0.009,18.536,0.030,,,,,,,,,,,,,,,,,,,,,,,17.5190,0.0020,17.9370,0.0050,18.2720,0.0080,18.5770,0.0170,18.7230,0.0140,,,,,,,18.212,0.033,18.513,0.074,18.558,0.143,18.338,0.217,,,,,18.4649,0.0616,18.5514,0.1202,18.7174,0.2358,,,,,,,,
LBQS0003+0053,Gaia EDR3 2546593965017189888,1.59419839224,1.16632030380,100.15804615996,-59.69807712065,sdB,DA,sdB,,sdO/B,,1.2798,1.2588,0.3432,,18.9232,0.0040,18.7899,0.0235,19.2540,0.0693,-6.5654,0.3269,0.0352,0.2581,-36,21,4,22,,,,,,,,0.025,0.001,0.077,17.328,0.028,17.764,0.021,,,,,,,,,,,18.376,0.015,18.685,0.008,19.165,0.012,19.461,0.020,19.839,0.089,,,,,,,,,,,,,,,,,,,,,,,18.7520,0.0160,19.1580,0.0090,19.5240,0.0080,19.7440,0.0320,19.8290,0.0550,,,,,,,19.639,0.096,,,,,,,,,,,19.5929,0.1479,,,,,,,,,,,,
SDSSJ000645.56+250738.5,Gaia EDR3 2850115386816340992,1.68984188825,25.12735022544,110.30564058061,-36.64656557896,sdOB,sdO,sdB,,sdO/B,,0.4309,0.4304,0.3765,,19.8268,0.0046,19.8243,0.0517,20.0868,0.0901,1.0781,0.4027,-1.7026,0.5166,-302,11,,,36883,2000,5.76,0.20,-0.46,0.40,2009PhDT.......273H,0.042,0.003,0.132,18.608,0.060,18.795,0.023,,,,,,,,,,,19.318,0.029,19.587,0.014,20.070,0.023,20.382,0.037,20.184,0.139,,,,,,,,,,,,,,,,,,,,,,,19.6450,0.0100,20.0570,0.0110,20.4110,0.0130,20.6990,0.0480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCT0004-2737,Gaia EDR3 2333646741998127744,1.69293256882,-27.34816634727,29.10518964295,-80.07257182224,sdOB,sdO7He1,,sdO/B,sdO/B,sdB,1.5201,1.5458,0.0367,4.8627,13.9169,0.0029,13.7641,0.0036,14.2008,0.0040,19.7833,0.0364,-9.8008,0.0284,,,,,37500,1100,5.94,0.12,-1.62,0.10,2013A&A...557A.122G,0.017,0.000,0.053,12.816,0.006,14.014,0.005,13.931,0.044,13.762,0.034,13.735,0.018,14.187,0.021,14.559,0.087,,,,,,,,,,,13.12300,0.00101,13.70810,0.00054,14.23670,0.00073,14.52390,0.00114,14.77610,0.00226,13.4390,0.0080,13.5270,0.0110,13.7830,0.0060,14.1350,0.0110,14.5670,0.0060,14.8950,0.0020,13.7670,0.0020,14.2030,0.0020,14.5370,0.0020,14.8470,0.0040,14.9980,0.0060,14.538,0.037,14.675,0.059,14.842,0.103,,,,,,,,,,,,,,,,,,,14.813,0.036,14.938,0.090,12.861,,9.220,
EC00048-8631,Gaia EDR3 4616472055105140608,1.73671292137,-86.24056074915,303.77579647261,-30.81453492477,sdB,sdB(+F?),,,,sdB,0.2695,0.2920,0.0321,3.3612,16.0341,0.0028,15.9821,0.0044,16.1302,0.0066,11.5114,0.0372,1.1245,0.0363,,,,,,,,,,,,0.079,0.001,0.243,16.010,0.033,16.083,0.018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.9190,0.0060,15.8480,0.0570,15.9070,0.0420,16.1590,0.0160,16.5360,0.0070,16.6600,0.0510,,,,,,,,,,,16.164,0.102,15.942,,15.915,,,,,,,,,,,,16.2056,0.0107,16.2848,0.0202,,,16.4770,0.0915,,,,,,,,
PG0004+133,Gaia EDR3 2767874292175410560,1.89071317596,13.59924377958,106.91790589839,-47.90360552977,sdB,sdB2.5VHe7,,sdO/B,sdO/B,,2.0535,2.0898,0.0285,4.6481,13.0476,0.0028,12.9984,0.0031,13.1293,0.0040,-1.8361,0.0294,-19.5805,0.0269,,,,,30322,142,5.47,0.03,-1.74,0.02,2021ApJS..256...28L,0.110,0.005,0.341,13.181,0.003,13.400,0.002,13.131,0.063,13.046,0.013,12.966,0.024,13.269,0.059,13.509,0.059,14.058,0.008,12.967,0.002,13.241,0.002,15.060,0.015,14.439,0.009,,,,,,,,,,,,,,,,,,,,,,,13.1180,,13.3640,,13.4760,0.0020,13.6740,0.0030,13.7710,0.0040,13.288,0.024,13.326,0.026,13.384,0.039,13.235,0.002,13.263,0.001,13.308,0.002,13.398,0.004,,,,,,,,,,,13.457,0.027,13.494,0.038,12.540,0.475,8.434,
PG0005+179,Gaia EDR3 2797051138888605568,2.07412709071,18.13289538939,108.72926917561,-43.54592764835,sdB,sdB,,sdO/B,sdO/B,,1.2788,1.3004,0.0483,4.9250,14.3547,0.0029,14.1987,0.0033,14.6385,0.0041,12.0351,0.0503,-2.7213,0.0514,,,,,,,,,,,,0.029,0.001,0.091,12.902,0.005,13.382,0.004,14.426,0.006,14.176,0.030,14.158,0.008,14.662,0.027,15.004,0.112,15.677,0.010,16.267,0.010,,,16.196,0.011,15.710,0.012,,,,,,,,,,,,,,,,,,,,,,,14.2020,0.0030,14.6140,0.0030,14.9740,0.0040,15.2470,0.0070,15.4300,0.0030,15.033,0.048,15.095,0.104,15.321,0.156,,,,,,,,,,,,,,,,,,,15.402,0.048,15.712,0.176,12.726,,9.174,
KPD0005+5106,Gaia EDR3 395429431270137728,2.07592361191,51.38794076024,116.10284169518,-10.91096332704,O(He),DOZ1,,sdO/B,sdO/B,,2.4089,2.4234,0.0355,5.1933,13.2712,0.0028,13.1043,0.0030,13.5821,0.0038,30.0430,0.0270,-0.7270,0.0310,,,,,200000,20000,6.70,0.30,0.60,0.00,2015A&A...583A.131W,0.190,0.005,0.601,12.190,0.004,13.178,0.004,13.336,0.046,13.292,0.167,13.264,0.148,13.529,0.049,13.882,0.095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.1660,,13.5471,0.0038,13.9381,0.0051,14.2094,0.0024,14.4034,0.0021,13.948,0.027,14.135,0.042,14.186,0.057,,,,,,,,,,,,,,,,,,,14.429,0.026,14.582,0.041,13.083,,8.943,
LAMOSTJ000824.52+490501.9,Gaia EDR3 393589879591384576,2.10215612291,49.08386837915,115.71903550907,-13.18432269819,sdB,,,,sdO/B,,0.6246,0.6389,0.0432,4.9158,15.8888,0.0028,15.8153,0.0037,16.0222,0.0051,-2.1708,0.0339,-0.6100,0.0323,,,,,29448,307,5.45,0.05,-2.70,0.07,2021ApJS..256...28L,0.108,0.002,0.334,,,15.773,0.019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.7963,0.0057,16.0875,0.0037,16.3587,0.0049,16.5671,0.0037,16.7249,0.0100,16.188,0.098,15.930,,17.144,,,,,,,,,,,,,,,,,,,,,,,,,,,
